,name,Suburb,State,post,cost_text,Latitude,longitude,Beds,Baths,Parking,School,Cloest_shops,pyte,SA2_code,SA2_name,LGA_code,LGA_name,Crime_rate,Pop_density,School_with_rank,Total_employee_income_median,Total_employee_income_mean,Total_income_median,Total_income_mean,Nearest_Bus_Stop,Nearest_Tram_Stop,Nearest_Regional_Train_Station,is_nearby_hospital,is_cbd,median_2019_2020,mean_2019_2020,Nearest_Metro_Train_Station,Unnamed: 32,Unnamed: 33,driving distance/time,walking distance/time,school_rank_value,bus_value,tram_value,train_value,country_train,walk_time,drive_time
10,2A Oscar Street,Seddon,VIC,3011,575.0,-37.8081133,144.8846808,2,2,1,"{'Yarraville West Primary School': 0.7, 'Yarraville Special Developmental School': 1.1, 'Footscray High School': 2.1}","['Footscray Plaza Shopping Centre', -37.8016476, 144.8977057, 12]",town_house,213031350,Seddon - Kingsville,24330,Maribyrnong,9956.17498,5567.458008,"[['Yarraville West Primary School', 0.7, 288], ['Yarraville Special Developmental School', 1.1, None], ['Footscray High School', 2.1, 276]]",65931.0,77746.0,66372.0,78218.0,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 0.7043311216497053]","['62-Nicholson St/Hopkins St (Footscray)', -37.799841, 144.899736, 1.6110956785538497]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 1.6957783339516297]",True,False,68864,81615,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 0.7043311216497053]",,,1855.9/237.8,1786.6/1286.4,0.4246153846153846,0.2347770405499017,0.3222191357107699,0.0704331121649705,0.0565259444650543,1286.4,237.8
11,52 Stafford Street,Footscray,VIC,3011,550.0,-37.7964516,144.8834154,2,1,1,"{'Footscray West Primary School': 0.7, 'Footscray High School': 1.1, 'Footscray City College': 1.1}","['Footscray Plaza Shopping Centre', -37.8016476, 144.8977057, 12]",town_house,213031348,Footscray,24330,Maribyrnong,9956.17498,3636.729736,"[['Footscray West Primary School', 0.7, 417], ['Footscray High School', 1.1, 276], ['Footscray City College', 1.1, None]]",49003.0,56547.0,49243.0,57701.0,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 0.5971493870378438]","['58-Ballarat Rd/Gordon St (Footscray)', -37.790476, 144.889554, 0.8558310308917686]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 1.7252313530620709]",True,False,50830,60436,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 0.5971493870378438]",,,1758.5/233.0,1945.8/1400.9,0.4246153846153846,0.1990497956792812,0.1711662061783537,0.0597149387037843,0.0575077117687356,1400.9,233.0
12,2/30 Alma Street,Maidstone,VIC,3012,820.0,-37.7826489,144.8705334,4,3,3,"{'Footscray North Primary School': 1.3, 'Rosamond Special School': 1.4, 'Maribyrnong Secondary College': 1.6}","['Braybrook Shopping Centre', -37.7819431, 144.8640115, 13]",town_house,213031347,Braybrook,24330,Maribyrnong,9956.17498,2604.518799,"[['Footscray North Primary School', 1.3, None], ['Rosamond Special School', 1.4, None], ['Maribyrnong Secondary College', 1.6, 333]]",46621.0,52692.0,45758.0,52895.0,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 1.9628052625845045]","['50-Wests Rd/Williamson Rd (Maribyrnong)', -37.775212, 144.882143, 1.3133549572900585]","['Sunshine Railway Station (Sunshine)', -37.788536, 144.832878, 3.3732225968849403]",True,False,47576,55019,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 1.9628052625845045]",,,695.8/115.2,721.8/519.7,0.5123076923076924,0.6542684208615015,0.2626709914580117,0.1962805262584504,0.112440753229498,519.7,115.2
13,38 Highbury Street West,Footscray,VIC,3012,750.0,-37.8055822,144.8751136,4,2,1,"{'Kingsville Primary School': 0.8, 'Footscray High School': 2.3, 'Footscray City College': 2.3}","['Central West Shopping Centre', -37.793489, 144.861609, 48]",town_house,213031351,West Footscray - Tottenham,24330,Maribyrnong,9956.17498,2000.769043,"[['Kingsville Primary School', 0.8, 303], ['Footscray High School', 2.3, 276], ['Footscray City College', 2.3, None]]",54199.0,62130.0,54086.0,62995.0,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 0.8854808277610695]","['58-Ballarat Rd/Gordon St (Footscray)', -37.790476, 144.889554, 2.105069590500093]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 2.4089468257347457]",True,False,55705,65428,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 0.8854808277610695]",,,2616.2/302.6,2573.1/1852.6,0.4246153846153846,0.2951602759203565,0.4210139181000186,0.0885480827761069,0.0802982275244915,1852.6,302.6
14,3/21 Waratah Street West,Footscray,VIC,3012,720.0,-37.8097281,144.8683755,3,2,1,"{'Kingsville Primary School': 0.6, 'Footscray High School': 3.1, 'Footscray City College': 3.1}","['Central West Shopping Centre', -37.793489, 144.861609, 48]",town_house,213031351,West Footscray - Tottenham,24330,Maribyrnong,9956.17498,2000.769043,"[['Kingsville Primary School', 0.6, 303], ['Footscray High School', 3.1, 276], ['Footscray City College', 3.1, None]]",54199.0,62130.0,54086.0,62995.0,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 1.2589088915513935]","['58-Ballarat Rd/Gordon St (Footscray)', -37.790476, 144.889554, 2.836406472983566]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 3.097059223616087]",True,False,55705,65428,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 1.2589088915513935]",,,2876.3/293.7,2450.9/1764.6,0.4246153846153846,0.4196362971837978,0.5672812945967132,0.1258908891551393,0.1032353074538695,1764.6,293.7
15,2B Lae Street West,Footscray,VIC,3012,720.0,-37.8104001,144.8671207,3,2,1,"{'Kingsville Primary School': 0.7, 'Footscray High School': 3.2, 'Footscray City College': 3.2}","['Central West Shopping Centre', -37.793489, 144.861609, 48]",town_house,213031351,West Footscray - Tottenham,24330,Maribyrnong,9956.17498,2000.769043,"[['Kingsville Primary School', 0.7, 303], ['Footscray High School', 3.2, 276], ['Footscray City College', 3.2, None]]",54199.0,62130.0,54086.0,62995.0,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 1.2928646145747023]","['58-Ballarat Rd/Gordon St (Footscray)', -37.790476, 144.889554, 2.9653196884427935]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 3.224795153206735]",True,False,55705,65428,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 1.2928646145747023]",,,2665.4/272.1,2551.2/1836.8,0.4246153846153846,0.4309548715249007,0.5930639376885587,0.1292864614574702,0.1074931717735578,1836.8,272.1
16,1/76 Roberts Street West,Footscray,VIC,3012,700.0,-37.8074476,144.8701872,3,2,2,"{'Kingsville Primary School': 0.7, 'Footscray High School': 2.8, 'Footscray City College': 2.8}","['Central West Shopping Centre', -37.793489, 144.861609, 48]",town_house,213031351,West Footscray - Tottenham,24330,Maribyrnong,9956.17498,2000.769043,"[['Kingsville Primary School', 0.7, 303], ['Footscray High School', 2.8, 276], ['Footscray City College', 2.8, None]]",54199.0,62130.0,54086.0,62995.0,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 1.1115479879205674]","['58-Ballarat Rd/Gordon St (Footscray)', -37.790476, 144.889554, 2.541033214236715]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 2.8760738806263872]",True,False,55705,65428,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 1.1115479879205674]",,,2385.9/254.8,2361.7/1700.4,0.4246153846153846,0.3705159959735224,0.5082066428473431,0.1111547987920567,0.0958691293542129,1700.4,254.8
17,65 Ringtail Circuit,Maidstone,VIC,3012,650.0,-37.782971,144.8809403,3,2,2,"{'Footscray North Primary School': 0.6, 'Maribyrnong Secondary College': 0.8, 'Rosamond Special School': 2.3}","['Maribyrnong Homemaker Centre', -37.773265, 144.8839527, 17]",town_house,213031347,Braybrook,24330,Maribyrnong,9956.17498,2604.518799,"[['Footscray North Primary School', 0.6, None], ['Maribyrnong Secondary College', 0.8, 333], ['Rosamond Special School', 2.3, None]]",46621.0,52692.0,45758.0,52895.0,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 2.111044447802414]","['52-Rosamond Rd/River St (Maribyrnong)', -37.779332, 144.88575, 0.585151578256287]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 2.763358419897734]",True,False,47576,55019,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 2.111044447802414]",,,1519.8/158.6,1508.3/1086.0,0.5123076923076924,0.7036814826008047,0.1170303156512574,0.2111044447802414,0.0921119473299244,1086.0,158.6
18,2/23 Wattle Road,Maidstone,VIC,3012,600.0,-37.7777159,144.8825753,3,2,2,"{'Maribyrnong Secondary College': 0.6, 'Footscray North Primary School': 1.1, 'Rosamond Special School': 2.4}","['Maribyrnong Homemaker Centre', -37.773265, 144.8839527, 17]",town_house,213031347,Braybrook,24330,Maribyrnong,9956.17498,2604.518799,"[['Maribyrnong Secondary College', 0.6, 333], ['Footscray North Primary School', 1.1, None], ['Rosamond Special School', 2.4, None]]",46621.0,52692.0,45758.0,52895.0,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 2.681226419290431]","['52-River St/Rosamond Rd (Maribyrnong)', -37.778502, 144.885206, 0.24717671097527796]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 3.1405073221301807]",True,False,47576,55019,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 2.681226419290431]",,,844.5/93.2,844.5/608.0,0.5123076923076924,0.8937421397634769,0.0494353421950555,0.2681226419290431,0.1046835774043393,608.0,93.2
19,2/4 Clarendon Parade West,Footscray,VIC,3012,600.0,-37.8052584,144.8697873,4,2,2,"{'Kingsville Primary School': 0.9, 'Footscray High School': 2.6, 'Footscray City College': 2.7}","['Central West Shopping Centre', -37.793489, 144.861609, 48]",town_house,213031351,West Footscray - Tottenham,24330,Maribyrnong,9956.17498,2000.769043,"[['Kingsville Primary School', 0.9, 303], ['Footscray High School', 2.6, 276], ['Footscray City College', 2.7, None]]",54199.0,62130.0,54086.0,62995.0,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 0.898666023575366]","['58-Ballarat Rd/Gordon St (Footscray)', -37.790476, 144.889554, 2.3912830406229197]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 2.863975915534543]",True,False,55705,65428,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 0.898666023575366]",,,2283.4/252.3,2088.8/1503.9,0.4246153846153846,0.2995553411917886,0.4782566081245839,0.0898666023575366,0.0954658638511514,1503.9,252.3
20,4 Banksia Court West,Footscray,VIC,3012,600.0,-37.8057492,144.8679864,2,2,1,"{'Kingsville Primary School': 1.0, 'Footscray High School': 2.8, 'Footscray City College': 2.8}","['Central West Shopping Centre', -37.793489, 144.861609, 48]",town_house,213031351,West Footscray - Tottenham,24330,Maribyrnong,9956.17498,2000.769043,"[['Kingsville Primary School', 1.0, 303], ['Footscray High School', 2.8, 276], ['Footscray City College', 2.8, None]]",54199.0,62130.0,54086.0,62995.0,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 0.847519105302985]","['58-Ballarat Rd/Gordon St (Footscray)', -37.790476, 144.889554, 2.544655562092666]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 3.0287147945784634]",True,False,55705,65428,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 0.847519105302985]",,,2122.5/272.4,1997.5/1438.1,0.4246153846153846,0.2825063684343283,0.5089311124185332,0.0847519105302985,0.1009571598192821,1438.1,272.4
21,8 Kiln Walk,Maidstone,VIC,3012,585.0,-37.7787115,144.8747768,3,2,1,"{'Maribyrnong Secondary College': 1.2, 'Footscray North Primary School': 1.3, 'Rosamond Special School': 1.7}","['Maribyrnong Homemaker Centre', -37.773265, 144.8839527, 17]",town_house,213031347,Braybrook,24330,Maribyrnong,9956.17498,2604.518799,"[['Maribyrnong Secondary College', 1.2, 333], ['Footscray North Primary School', 1.3, None], ['Rosamond Special School', 1.7, None]]",46621.0,52692.0,45758.0,52895.0,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 2.509411354060584]","['50-Wests Rd/Williamson Rd (Maribyrnong)', -37.775212, 144.882143, 0.7553496050379633]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 3.4789382239938127]",True,False,47576,55019,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 2.509411354060584]",,,1453.9/125.4,1158.8/834.3,0.5123076923076924,0.836470451353528,0.1510699210075926,0.2509411354060584,0.1159646074664604,834.3,125.4
22,1/40-42 Kingsville Street,Kingsville,VIC,3012,570.0,-37.809274,144.878334,3,2,1,"{'Kingsville Primary School': 0.5, 'Yarraville Special Developmental School': 1.1, 'Footscray High School': 2.4}","['Footscray Plaza Shopping Centre', -37.8016476, 144.8977057, 12]",town_house,213031350,Seddon - Kingsville,24330,Maribyrnong,9956.17498,5567.458008,"[['Kingsville Primary School', 0.5, 303], ['Yarraville Special Developmental School', 1.1, None], ['Footscray High School', 2.4, 276]]",65931.0,77746.0,66372.0,78218.0,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 0.9677827818944312]","['62-Nicholson St/Hopkins St (Footscray)', -37.799841, 144.899736, 2.1530641578231555]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 2.2570618808874463]",True,False,68864,81615,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 0.9677827818944312]",,,2665.7/319.0,2566.3/1847.7,0.4246153846153846,0.322594260631477,0.4306128315646311,0.0967782781894431,0.0752353960295815,1847.7,319.0
23,4/377 Geelong Road,Kingsville,VIC,3012,550.0,-37.8091747,144.8744256,2,2,1,"{'Kingsville Primary School': 0.4, 'Yarraville Special Developmental School': 1.3, 'Footscray High School': 2.6}","['Central West Shopping Centre', -37.793489, 144.861609, 48]",town_house,213031350,Seddon - Kingsville,24330,Maribyrnong,9956.17498,5567.458008,"[['Kingsville Primary School', 0.4, 303], ['Yarraville Special Developmental School', 1.3, None], ['Footscray High School', 2.6, 276]]",65931.0,77746.0,66372.0,78218.0,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 1.1735540738513357]","['61-Geelong Rd/Droop St (Footscray)', -37.796793, 144.897131, 2.423825657846961]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 2.573349144199857]",True,False,68864,81615,"['West Footscray Railway Station (West Footscray)', -37.801803, 144.883985, 1.1735540738513357]",,,3214.3/385.9,3137.2/2258.8,0.4246153846153846,0.3911846912837786,0.4847651315693921,0.1173554073851335,0.0857783048066618,2258.8,385.9
24,5/1 Clarendon Street,Maidstone,VIC,3012,550.0,-37.784875,144.8671264,3,1,1,"{'Rosamond Special School': 1.2, 'Dinjerra Primary School': 1.2, 'Braybrook College': 1.9}","['Braybrook Shopping Centre', -37.7819431, 144.8640115, 13]",town_house,213031347,Braybrook,24330,Maribyrnong,9956.17498,2604.518799,"[['Rosamond Special School', 1.2, None], ['Dinjerra Primary School', 1.2, None], ['Braybrook College', 1.9, 122]]",46621.0,52692.0,45758.0,52895.0,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 1.640220660290344]","['50-Wests Rd/Williamson Rd (Maribyrnong)', -37.775212, 144.882143, 1.7018213481096431]","['Sunshine Railway Station (Sunshine)', -37.788536, 144.832878, 3.037054317658678]",True,False,47576,55019,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 1.640220660290344]",,,562.6/70.4,626.6/451.1,0.1876923076923076,0.5467402200967814,0.3403642696219286,0.1640220660290344,0.1012351439219559,451.1,70.4
25,2/695 Barkly Street West,Footscray,VIC,3012,550.0,-37.7966083,144.8678655,3,1,2,"{'Footscray West Primary School': 0.7, 'Rosamond Special School': 2.2, 'Footscray High School': 2.4}","['Central West Shopping Centre', -37.793489, 144.861609, 48]",town_house,213031351,West Footscray - Tottenham,24330,Maribyrnong,9956.17498,2000.769043,"[['Footscray West Primary School', 0.7, 417], ['Rosamond Special School', 2.2, None], ['Footscray High School', 2.4, 276]]",54199.0,62130.0,54086.0,62995.0,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 0.5227453858863783]","['58-Ballarat Rd/Gordon St (Footscray)', -37.790476, 144.889554, 2.0240614139193567]","['Footscray Railway Station (Footscray)', -37.801413, 144.90202, 3.0480832896359464]",True,False,55705,65428,"['Tottenham Railway Station (West Footscray)', -37.799251, 144.862945, 0.5227453858863783]",,,816.5/112.7,824.8/593.9,0.4246153846153846,0.1742484619621261,0.4048122827838713,0.0522745385886378,0.1016027763211982,593.9,112.7
